id;name_on_card;cvv;card_number;expire_date;date_created;date_updated;user_id
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2019-12-05T11:53:18;2019-12-05T11:01:42;2
2;parsing red Chips;Money Market Account;Albania web-readiness;Namibia;2019-12-05T02:47:09;2019-12-05T09:02:04;1
3;Coordinator;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;2019-12-05T10:49:16;2019-12-05T12:03:50;2
4;Planner cross-platform access;Public-key;infomediaries;Investment Account;2019-12-04T16:23:09;2019-12-05T11:33:25;1
5;incentivize Tuna copy;Costa Rica Mayotte;Industrial;connect Markets Chief;2019-12-04T22:01:58;2019-12-04T18:55:41;2
6;Awesome;Aruba;software scale interactive;Louisiana Specialist Home Loan Account;2019-12-05T05:45:30;2019-12-05T09:00:01;1
7;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;2019-12-04T15:40:05;2019-12-04T15:58:54;2
8;archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;2019-12-04T16:00:31;2019-12-04T18:07:25;2
9;Robust Networked;Poland;Small partnerships;Outdoors;2019-12-04T21:06:31;2019-12-05T00:58:25;1
10;Buckinghamshire Corporate;Investment Account;override User-centric;Money Market Account;2019-12-04T19:42:28;2019-12-05T08:30:47;2
